product_id,name,current_price,rating,num_reviews,link,image_url,store_name,last_update
0001,Logitech G435 Lightspeed & Bluetooth Wireless Lightweight Gaming Headset,75.05,4.9,1933,https://shopee.sg/Logitech-G435-Lightspeed-Bluetooth-Wireless-Lightweight-Gaming-Headset-i.280663945.13118380103,https://cf.shopee.sg/file/sg-11134207-7rd5b-lv31rt0ao39l80_tn.webp,Shopee,1/6/25
0002,Logitech G  Astro A50 (Gen 5) Lightspeed And Playsync Audio With Base Station,417.05,4.9,60,https://shopee.sg/Logitech-G-Astro-A50-(Gen-5)-Lightspeed-And-Playsync-Audio-With-Base-Station-i.280663945.27365824416,https://cf.shopee.sg/file/sg-11134207-7reol-m1xl29atr41w63_tn.webp,Shopee,1/6/25
0003,"Logitech G PRO X Gaming Headset (2nd Generation) , DTS Headphone:X 7.1 and 50 mm PRO-G Drivers",147.00,4.9,1921,https://shopee.sg/Logitech-G-PRO-X-Gaming-Headset-(2nd-Generation)-DTS-Headphone-X-7.1-and-50-mm-PRO-G-Drivers-i.280663945.6441095831,https://cf.shopee.sg/file/sg-11134207-7rd6z-m6rzqix506fv3a_tn.webp,Shopee,1/6/25
0004,Sennheiser HD 650 Open Back Audiophile Headphones,463.00,5.0,45,https://shopee.sg/Sennheiser-HD-650-Open-Back-Audiophile-Headphones-i.56431667.920106910?sp_atk=dbf0c618-11c0-4315-be3d-b786fd99b7fe&xptdk=dbf0c618-11c0-4315-be3d-b786fd99b7fe,https://cf.shopee.sg/file/1d6350fc90b48cfc6557042a6817b15e_tn.webp,Shopee,1/6/25
0005,[NEW] Sennheiser HD 660S2 Over Ear Audiophile Headphones,593.00,4.8,46,https://shopee.sg/-NEW-Sennheiser-HD-660S2-Over-Ear-Audiophile-Headphones-i.56431667.22831991890?sp_atk=192d004c-c915-43a3-9db1-c5a5293eb2da&xptdk=192d004c-c915-43a3-9db1-c5a5293eb2da,https://cf.shopee.sg/file/sg-11134201-23030-2h0vvtmf3nov05_tn.webp,Shopee,1/6/25
0006,Edifier W800BT Pro/ARTPCK Bluetooth 5.4 Wireless Headphones with Active Noise Cancellation Hi-Res Audio Φ40mm Dynamic Driver Clear Call Foldable,49.59,4.8,348,https://shopee.sg/Edifier-W800BT-Pro-ARTPCK-Bluetooth-5.4-Wireless-Headphones-with-Active-Noise-Cancellation-Hi-Res-Audio-%CE%A640mm-Dynamic-Driver-Clear-Call-Foldable-i.970852992.29658681552?sp_atk=a29ced1c-928c-4f2e-94ef-2da0c32adcdd&xptdk=a29ced1c-928c-4f2e-94ef-2da0c32adcdd,https://cf.shopee.sg/file/cn-11134207-7ras8-ma9kh7hmrkqu52_tn.webp,Shopee,1/6/25
0007,Sennheiser HD 800 S Open Back Audiophile Headphones,2488.18,4.9,41,https://shopee.sg/Sennheiser-HD-800-S-Open-Back-Audiophile-Headphones-i.56431667.920106919?sp_atk=bea6b5b8-b2a2-4245-95c1-a8e4d6601066&xptdk=bea6b5b8-b2a2-4245-95c1-a8e4d6601066,https://cf.shopee.sg/file/f09a51ff10ed4072dbe73de6002cbbc1_tn.webp,Shopee,1/6/25
0008,[NEW] Sennheiser HD 620S,363.00,5.0,12,https://shopee.sg/-NEW-Sennheiser-HD-620S-i.56431667.28000439967?sp_atk=fcc8eac7-077f-4319-8a6d-bbaa572b8ebb&xptdk=fcc8eac7-077f-4319-8a6d-bbaa572b8ebb,https://cf.shopee.sg/file/sg-11134207-7rdxk-m0e2u7pgjngkce_tn.webp,Shopee,1/6/25
0009,Edifier WH700NB  Pro Wireless Over-Ear Headphones Bluetooth V5.4 -43dB Hybrid ANC Headset 56-Hrs Playtime Hi-Res Audio with 40mm Titanium Driver Multipoint Connection,58.20,4.9,432,https://shopee.sg/Edifier-WH700NB-Pro-Wireless-Over-Ear-Headphones-Bluetooth-V5.4-43dB-Hybrid-ANC-Headset-56-Hrs-Playtime-Hi-Res-Audio-with-40mm-Titanium-Driver-Multipoint-Connection-i.970852992.16798585536?sp_atk=855f3f13-0326-4166-94ea-7a13d3e72685&xptdk=855f3f13-0326-4166-94ea-7a13d3e72685,https://cf.shopee.sg/file/cn-11134207-7ras8-ma9incgoh3e22d_tn.webp,Shopee,1/6/25
0010,Sennheiser HD 505 Open Back Wired Headphones,323.00,5.0,7,https://shopee.sg/Sennheiser-HD-505-Open-Back-Wired-Headphones-i.56431667.26523573653?sp_atk=928fe3eb-9334-48e3-933f-27d630ac2764&xptdk=928fe3eb-9334-48e3-933f-27d630ac2764,https://cf.shopee.sg/file/sg-11134207-7ra1z-m589hp3zfuqgf4_tn.webp,Shopee,1/6/25
